title,address,link,Word
Clinique Vétélys,"Route de Pré-Bois 6, 1214 Vernier",https://www.local.ch/fr/d/vernier/1214/soins-danimaux/clinique-vetelys-G4Y4Q9T5T3PGhfs9rPAQyg,Clinique vétérinaire
Kleintierpraxis Dr. Romana Jäggi GmbH,"Passwangstrasse 37A, 4226 Breitenbach",https://www.local.ch/fr/d/breitenbach/4226/clinique-pour-animaux/kleintierpraxis-dr-romana-jaeggi-gmbh-NN1NgvzbnuH5ENPJDGozHA,Clinique vétérinaire
DVG Sàrl,"Chemin de Praz 2, 1023 CrissierCase Postale, 1023 Crissier 1",https://www.local.ch/fr/d/crissier/1023/installations-et-appareils-medicaux/dvg-sarl-vlPtLBHFnPUrcVdHPtKF9w,Clinique vétérinaire
Farmacia Stazione Biasca SA,"Via Bellinzona 2, 6710 Biasca",https://www.local.ch/fr/d/biasca/6710/pharmacie/farmacia-stazione-biasca-sa-CL0F3zLMgToTJ6x6XIPZRQ,Clinique vétérinaire
Christiane Devenoges - Kinésiologue,"Place de la Riponne 1, 1005 Lausanne",https://www.local.ch/fr/d/lausanne/1005/kinesiologie/christiane-devenoges-kinesiologue-JB7UGWKG_3XHBUFHiv6Rvw,Clinique vétérinaire
Dr. med. Henschel Mark,"Luzernstrasse 5-11, 4500 Soleure",https://www.local.ch/fr/d/soleure/4500/chirurgie/dr-med-henschel-mark-vhGuYrU3TM7bmQzyJpJXrw,Clinique vétérinaire
Körperdynamik Andrea Nutto,"Gerbergasse 24, 4001 Bâle",https://www.local.ch/fr/d/bale/4001/formation-dadultes/koerperdynamik-andrea-nutto-7ygePXXAXBz3kwf2temxgw,Clinique vétérinaire
Procomed SA,"Route des Jeunes 23, 1227 Carouge GE",https://www.local.ch/fr/d/carouge-ge/1227/fournitures-medicales/procomed-sa-H1--IN1yFp9ruisRp_Sa7w,Clinique vétérinaire
Tier- und Hausbetreuung,"Buchmattweg 3, 4453 Nusshof",https://www.local.ch/fr/d/nusshof/4453/soins-danimaux/tier-und-hausbetreuung-1JaScd0AjK47DAiOTCDO7A,Clinique vétérinaire
SWISS TAXI 24 GmbH,"Schaffhauserstrasse 108, 8180 Bülach",https://www.local.ch/fr/d/buelach/8180/taxi/swiss-taxi-24-gmbh-VcQ6Z4ueSW53-eo_g8fvqQ,Clinique vétérinaire
SOMMERhilft.ch,"Dorfstrasse 17, 5725 Leutwil",https://www.local.ch/fr/d/leutwil/5725/allround-service/sommerhilft-ch-iPPa6qmRbKpTEEW4Y6z6sw,Clinique vétérinaire
RB Limousine GmbH,"Via Giovanni Segantini 16, 7500 St. Moritz",https://www.local.ch/fr/d/st-moritz/7500/taxi/rb-limousine-gmbh-rBg5fqvYuZQ5k3G0blBHDA,Clinique vétérinaire
E.Schwab Mobil GmbH,"Hühnerbühlstrasse 21, 3065 Bolligen",https://www.local.ch/fr/d/bolligen/3065/transports/e-schwab-mobil-gmbh-qQlHhAea4L3yR4pMA6Ovpg,Clinique vétérinaire
A-BL Taxi GmbH,"Waldstrasse 20, 4410 Liestal",https://www.local.ch/fr/d/liestal/4410/taxi/a-bl-taxi-gmbh-Wktw57uzVY6OCuFQ_WGcWg,Clinique vétérinaire
A-BL Taxi GmbH,"Hauptstrasse 55, 4450 Sissach",https://www.local.ch/fr/d/sissach/4450/taxi/a-bl-taxi-gmbh-9P_dQ6ih3ZiXm-heUVpzEw,Clinique vétérinaire
AAA Taxi-Zentrale GmbH,"Rütiweg 9, 4133 Pratteln",https://www.local.ch/fr/d/pratteln/4133/taxi/aaa-taxi-zentrale-gmbh-mhMkP4BPzXXbz60PPsYTZA,Clinique vétérinaire
Access taxi sarl,"Chemin du Chêne 4b, 1053 Bretigny-sur-Morrens",https://www.local.ch/fr/d/bretigny-sur-morrens/1053/taxi/access-taxi-sarl-T7iKrH3zNs_YXAOs5eDC5g,Clinique vétérinaire
Alliance Taxi & Schülertransport,"Central 1, 8001 Zurich",https://www.local.ch/fr/d/zurich/8001/taxi/alliance-taxi-schuelertransport--DejHTS40BM-K_F4d6VIDg,Clinique vétérinaire
Gentlemen Brunner GmbH,"Stettlistrasse 37, 6383 Dallenwil",https://www.local.ch/fr/d/dallenwil/6383/taxi/gentlemen-brunner-gmbh-9x2JSkfh8w0wTXduB8cUoQ,Clinique vétérinaire
HPR Taxi Limousines Services Hofmann,"Chemin des Sagnes 27, 2022 Bevaix",https://www.local.ch/fr/d/bevaix/2022/taxi/hpr-taxi-limousines-services-hofmann--bOMZsNucGUkCtaciFNkgw,Clinique vétérinaire
Ned Taxi Genève,"Avenue de Vaudagne 82, 1217 Meyrin",https://www.local.ch/fr/d/meyrin/1217/chauffeur-service/ned-taxi-geneve-KJBfPeYJkasfi0jWu9XfYw,Clinique vétérinaire
Rabbit-Taxi,"Tüffi 12, 8484 Theilingen",https://www.local.ch/fr/d/theilingen/8484/taxi/rabbit-taxi-Pr60cGsjBca4U-FX5eAiiw,Clinique vétérinaire
Swiss Diamond Limousine,"Rue de la Combe 19C, 1196 Gland",https://www.local.ch/fr/d/gland/1196/chauffeur-service/swiss-diamond-limousine-YK0DI9XhJdWbpDDRKC9hiA,Clinique vétérinaire
T & D Citybus und Taxi GmbH,"Läui 10A, 9466 Sennwald",https://www.local.ch/fr/d/sennwald/9466/taxi/t-d-citybus-und-taxi-gmbh-QO5Lx3RIe4sgCyP6tCnnXQ,Clinique vétérinaire
Taxi 46,"Zentralstrasse 4, 8623 Wetzikon ZH",https://www.local.ch/fr/d/wetzikon-zh/8623/taxi/taxi-46-kGJ4ezFkTkvphKJ1Crwmlg,Clinique vétérinaire
Taxi Bulle Jad Transfert,"Rue Saint-Joseph 37, 1630 Bulle",https://www.local.ch/fr/d/bulle/1630/taxi/taxi-bulle-jad-transfert-1GqmOZFwJgTbphSntBnzQw,Clinique vétérinaire
Taxi Bulle &Voiture de location ATB SARL 24/7,"Chemin Xavier-de-Poret 25, 1630 Bulle",https://www.local.ch/fr/d/bulle/1630/taxi/taxi-bulle-voiture-de-location-atb-sarl-24-7-5_SyxbbMnaNjpOJ_v9Jo9g,Clinique vétérinaire
Taxi Easy Biel/Bienne,"Place de la Gare 1, 2502 Bienne",https://www.local.ch/fr/d/bienne/2502/taxi/taxi-easy-biel-bienne-tjFkNF87-wuUKR4ZreyiaQ,Clinique vétérinaire
Taxi Express Romandie Sàrl,"Allée du Rionzi 42, 1028 Préverenges",https://www.local.ch/fr/d/preverenges/1028/taxi/taxi-express-romandie-sarl-syGULQ2ixxNYinyRSdyhWQ,Clinique vétérinaire
Taxi L'Ouest,"Avenue des Baumettes 5, 1020 Renens VD",https://www.local.ch/fr/d/renens-vd/1020/taxi/taxi-l-ouest-dLmFjmPvoWuFRopi5GYTHQ,Clinique vétérinaire
Taxi Pino Chur,"Ringstrasse 18, 7000 Coire",https://www.local.ch/fr/d/coire/7000/taxi/taxi-pino-chur-iI4qqnrtMNnyepEIp8hDzQ,Clinique vétérinaire
Taxi-Telly Sàrl,"Rue de Morimont 59, 2900 Porrentruy",https://www.local.ch/fr/d/porrentruy/2900/taxi/taxi-telly-sarl-mpFXcNLd8q0SHSI6sS8PlQ,Clinique vétérinaire
Taxi Vicente Zuoz,"Via Staziun, 7524 Zuoz",https://www.local.ch/fr/d/zuoz/7524/taxi/taxi-vicente-zuoz-T7YquLELI_SpkAOgZeM1Ew,Clinique vétérinaire
